SeaTemp_mean,SeaTemp_min,SeaTemp_max,Temperature_mean,Temperature_min,Temperature_max,SeaPres_mean,WS_mean,WD_mean,class,segment,segment_day
15.36291667,15.13,15.5,14.6,13.4,16,1022.504167,8.366666667,12.91666667,1,4,17
15.07958333,14.9,15.3,14.65833333,13.5,16.6,1022.166667,6.0375,17.08333333,1,4,18
15.07444444,14.92,15.25,15.95833333,14.7,19.1,1020.158333,5.2,172.9166667,1,4,19
15.38583333,15.3,15.54,16.05833333,14.9,18.3,1018.658333,4.925,214.5833333,1,4,20
15.61931235,15.55262,15.695612,16.30304933,15.608368,17.500454,1017.212885,3.262755654,47.5183794,1,4,21
16.11629863,15.650056,16.3,17.76920363,15.760887,18.7,1012.005654,4.541550542,146.5438425,1,4,22
16.405,16.1,16.5,17.79166667,17,19.3,1013.375,3.9625,42.91666667,1,4,23
16.62333333,16.3,16.7,17.2125,16.3,18.6,1017.4875,6.229166667,18.33333333,1,4,24
16.65916667,16.5,16.7,16.63333333,15.1,18.3,1018.075,4.9875,17.5,1,4,25
16.85333333,16.6,17.07,17.06666667,15.8,19,1017.075,3.858333333,101.25,1,4,26
17.05875,16.7,17.27,16.975,15.6,19,1017.770833,5.7125,17.5,1,4,27
17.19291667,16.9,17.4,16.67916667,15.7,18.3,1020.3875,5.433333333,16.25,1,4,28
17.00916667,16.8,17.4,15.3375,14,17.1,1022.170833,7.066666667,17.5,1,4,29
16.83900858,16.782278,16.910673,14.47924508,13.612207,15.662654,1022.77726,6.075885892,56.9655355,1,4,30
16.73962317,16.5,17.09,16.47842958,14.48231,18.7,1022.362481,2.599000667,242.5635554,1,4,31
17.10791667,16.9,17.5,17.9,14.9,20.6,1019.8,1.225,204.5833333,1,4,32
17.51083333,17.2,17.7,18.0375,16.4,19.8,1020.2,4.4875,68.75,1,4,33
17.62717593,17.5,17.72222222,17.2125,16.3,19.1,1021.866667,5.65,85,1,4,34
17.805,17.7,17.9,18.14583333,16.6,20.4,1021.816667,4.379166667,57.5,0,4,35
18.09291667,17.98,18.18,17.99583333,16.4,20.5,1019.7125,2.7875,204.5833333,0,4,36
18.41333333,18.13,18.6,19.82916667,16,23.2,1017.875,1.75,233.3333333,0,4,37
18.82708333,18.5,18.91,18.99583333,17.4,20.7,1018.125,3.733333333,58.75,0,4,38
19.01875,18.7,19.1,19.12916667,17.3,20.5,1019.033333,5.654166667,16.66666667,0,4,39
18.8725,18.76,19,16.97083333,16.5,17.8,1019.483333,6.429166667,99.16666667,1,4,40
18.58958333,18.5,18.82,16.55416667,15.9,17.5,1014.754167,4.525,201.25,1,4,41
18.43125,18.3,18.6,16.1875,15.2,17.6,1012.1375,6.3125,243.75,1,4,42
18.27625,18,18.5,15.75,15.2,16.5,1014.716667,5.783333333,141.25,1,4,43
18.14541667,18,18.28,16.625,16.1,17.3,1016.058333,5.341666667,29.58333333,1,4,44
18.21041667,18.1,18.4,16.47083333,15.3,18.1,1015.075,2.9,162.9166667,1,4,45
18.39323529,18.253632,18.570715,16.11192604,15.3,17.459045,1014.952711,2.915596363,166.8953542,1,4,46
18.58899,18.5,18.8,17.24632658,15.811838,19.2,1016.198788,3.939454992,119.0473308,1,4,47
18.71833333,18.6,18.8,16.65416667,15.7,18.1,1019.8,6.7,17.08333333,1,4,48
18.31875,18.03,18.6,15.62083333,14.6,17.1,1024.154167,7.258333333,17.5,1,4,49
17.70916667,17.5,17.9,15.78333333,14.3,18.2,1023.220833,4.4,130,1,4,50
17.71666667,17.6,18,16.26666667,13.8,19.6,1020.575,1.8,201.25,0,4,51
18.07041667,18,18.27,18.4125,14.9,22,1018.233333,1.258333333,204.5833333,0,4,52
18.48416667,18.3,18.52,20.55,16.6,24.1,1016.3,1.279166667,184.1666667,0,4,53
19.00791667,18.69,19.1,18.74583333,17.8,19.7,1015.520833,4.633333333,71.66666667,0,4,54
19.01833333,18.99,19.1,17.89166667,17.5,18.4,1014.291667,4.595833333,86.25,0,4,55
19.04708333,18.9,19.33,19.25416667,17.9,21.2,1011.5,2.291666667,223.3333333,0,4,56
19.35875,19,19.6,19.82916667,18.3,22.1,1010.408333,2.954166667,187.5,0,4,57
19.50958333,19.3,19.6,17.57916667,16.9,18.7,1014.445833,5.7,15.83333333,0,4,58
19.41916667,19.25,19.6,18.32916667,17.2,20.2,1016.375,4.583333333,73.33333333,0,4,59
